match_no,group,team_a,team_b,team_a_rank,team_a_points,team_b_rank,team_b_points,host_adjustment_a_pts,host_adjustment_b_pts,expected_goals_a,expected_goals_b,expected_total_goals,prob_team_a_win_pct,prob_draw_pct,prob_team_b_win_pct,prob_over_2_5_goals_pct,prob_under_2_5_goals_pct,prob_both_teams_score_pct,prob_team_a_clean_sheet_pct,prob_team_b_clean_sheet_pct,most_likely_score,top_3_scores,predicted_result,methodology,fixtures_source,ranking_source
1,A,Mexico,South Africa,15,1684.13,60,1428.38,35,0,2.0,0.79,2.79,65.9,20.4,13.8,52.8,47.2,47.1,45.5,13.5,2-0,2-0 (12.3%); 1-0 (12.3%); 2-1 (9.7%),Mexico,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
2,A,Korea Republic,Czechia,25,1589.65,41,1503.04,0,0,1.48,1.11,2.59,45.8,25.9,28.3,47.8,52.2,51.7,33.1,22.7,1-1,1-1 (12.3%); 1-0 (11.1%); 2-1 (9.1%),Korea Republic,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
3,A,Czechia,South Africa,41,1503.04,60,1428.38,0,0,1.45,1.13,2.57,44.5,26.1,29.4,47.5,52.5,51.7,32.4,23.5,1-1,1-1 (12.4%); 1-0 (11.0%); 2-1 (9.0%),Czechia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
4,A,Mexico,Korea Republic,15,1684.13,25,1589.65,35,0,1.6,1.03,2.63,50.4,25.0,24.6,48.9,51.1,51.4,35.6,20.3,1-1,1-1 (11.9%); 1-0 (11.5%); 2-1 (9.5%),Mexico,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
5,A,South Africa,Korea Republic,60,1428.38,25,1589.65,0,0,0.98,1.68,2.66,22.0,24.2,53.8,49.7,50.3,50.9,18.6,37.5,0-1,0-1 (11.7%); 1-1 (11.5%); 0-2 (9.9%),Korea Republic,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
6,A,Czechia,Mexico,41,1503.04,15,1684.13,0,35,0.89,1.82,2.72,18.1,22.7,59.3,51.0,49.0,49.5,16.2,40.9,0-1,0-1 (12.0%); 0-2 (11.0%); 1-1 (10.8%),Mexico,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
7,B,Canada,Bosnia and Herzegovina,30,1560.61,65,1385.77,35,0,1.81,0.9,2.71,58.7,22.8,18.5,50.9,49.1,49.7,40.5,16.4,1-0,1-0 (12.0%); 1-1 (10.9%); 2-0 (10.9%),Canada,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
8,B,Qatar,Switzerland,55,1452.38,19,1650.75,0,0,0.92,1.78,2.7,19.3,23.2,57.5,50.6,49.4,50.0,16.9,39.8,0-1,0-1 (12.0%); 1-1 (11.0%); 0-2 (10.6%),Switzerland,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
9,B,Switzerland,Bosnia and Herzegovina,19,1650.75,65,1385.77,0,0,1.94,0.82,2.76,63.7,21.2,15.1,52.2,47.8,48.0,44.0,14.3,1-0,1-0 (12.2%); 2-0 (11.9%); 1-1 (10.1%),Switzerland,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
10,B,Canada,Qatar,30,1560.61,55,1452.38,35,0,1.63,1.01,2.64,51.9,24.7,23.4,49.2,50.8,51.2,36.4,19.5,1-1,1-1 (11.7%); 1-0 (11.6%); 2-1 (9.6%),Canada,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
11,B,Switzerland,Canada,19,1650.75,30,1560.61,0,35,1.4,1.16,2.56,42.4,26.4,31.2,47.0,53.0,51.6,31.4,24.7,1-1,1-1 (12.6%); 1-0 (10.8%); 0-1 (9.0%),Switzerland,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
12,B,Bosnia and Herzegovina,Qatar,65,1385.77,55,1452.38,0,0,1.14,1.43,2.57,30.1,26.3,43.6,47.3,52.7,51.7,24.0,32.0,1-1,1-1 (12.5%); 0-1 (11.0%); 1-2 (8.9%),Qatar,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
13,C,Brazil,Morocco,6,1762.66,8,1757.29,0,0,1.26,1.24,2.51,37.1,27.0,36.0,45.8,54.2,51.0,28.9,28.2,1-1,1-1 (12.8%); 1-0 (10.3%); 0-1 (10.1%),Brazil,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
14,C,Haiti,Scotland,82,1296.61,43,1499.92,0,0,0.91,1.79,2.7,18.9,23.0,58.0,50.7,49.3,49.9,16.7,40.1,0-1,0-1 (12.0%); 1-1 (11.0%); 0-2 (10.7%),Scotland,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
15,C,Scotland,Morocco,43,1499.92,8,1757.29,0,0,0.83,1.92,2.76,15.6,21.4,63.0,52.0,48.0,48.3,14.6,43.5,0-1,0-1 (12.2%); 0-2 (11.8%); 1-1 (10.2%),Morocco,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
16,C,Brazil,Haiti,6,1762.66,82,1296.61,0,0,2.36,0.59,2.95,76.9,15.5,7.6,56.5,43.5,40.5,55.3,9.5,2-0,2-0 (14.5%); 1-0 (12.3%); 3-0 (11.4%),Brazil,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
17,C,Scotland,Brazil,43,1499.92,6,1762.66,0,0,0.83,1.94,2.76,15.3,21.2,63.5,52.2,47.8,48.1,14.4,43.8,0-1,0-1 (12.2%); 0-2 (11.8%); 1-1 (10.1%),Brazil,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
18,C,Morocco,Haiti,8,1757.29,82,1296.61,0,0,2.35,0.6,2.95,76.7,15.6,7.7,56.5,43.5,40.7,55.0,9.5,2-0,2-0 (14.5%); 1-0 (12.3%); 3-0 (11.3%),Morocco,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
19,D,USA,Paraguay,16,1675.71,40,1503.5,35,0,1.8,0.91,2.71,58.4,22.9,18.7,50.8,49.2,49.8,40.3,16.5,1-0,1-0 (12.0%); 1-1 (10.9%); 2-0 (10.8%),USA,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
20,D,Australia,Türkiye,27,1578.65,22,1601.99,0,0,1.21,1.31,2.52,34.2,26.8,39.0,46.2,53.8,51.3,26.9,29.8,1-1,1-1 (12.7%); 0-1 (10.5%); 1-0 (9.7%),Türkiye,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
21,D,USA,Australia,16,1675.71,27,1578.65,35,0,1.6,1.03,2.63,50.7,24.9,24.3,49.0,51.0,51.3,35.7,20.1,1-1,1-1 (11.9%); 1-0 (11.5%); 2-1 (9.5%),USA,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
22,D,Türkiye,Paraguay,22,1601.99,40,1503.5,0,0,1.51,1.09,2.6,47.1,25.7,27.2,48.1,51.9,51.6,33.8,22.0,1-1,1-1 (12.2%); 1-0 (11.3%); 2-1 (9.2%),Türkiye,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
23,D,Türkiye,USA,22,1601.99,16,1675.71,0,35,1.07,1.54,2.61,26.3,25.5,48.2,48.4,51.6,51.6,21.4,34.4,1-1,1-1 (12.1%); 0-1 (11.3%); 1-2 (9.3%),USA,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
24,D,Paraguay,Australia,40,1503.5,27,1578.65,0,0,1.12,1.45,2.58,29.3,26.1,44.6,47.5,52.5,51.7,23.5,32.5,1-1,1-1 (12.4%); 0-1 (11.0%); 1-2 (9.0%),Australia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
25,E,Germany,Curaçao,10,1731.3,83,1293.08,0,0,2.32,0.62,2.94,75.6,16.1,8.2,56.3,43.7,41.7,53.8,9.8,2-0,2-0 (14.2%); 1-0 (12.3%); 3-0 (11.0%),Germany,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
26,E,Côte d'Ivoire,Ecuador,34,1532.98,24,1596.48,0,0,1.14,1.42,2.56,30.4,26.3,43.3,47.2,52.8,51.7,24.2,31.8,1-1,1-1 (12.5%); 0-1 (10.9%); 1-2 (8.9%),Ecuador,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
